"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"117",2020113,4,15,10,NA,73,0,0,11111,11122,"TTO",0,2020,0.750482011391626,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"118",2020113,4,16,10,NA,75,0.15,0,11111,35311,"TTO",0,2020,0.750482011391626,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"127",2020130,22,8,10,3,82,0,0,11111,12111,"TTO",0,2020,0.616946395561154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2020130,22,9,10,3,80,0.5,0,11111,42321,"TTO",0,2020,0.616946395561154,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"131",2020130,22,12,10,3,75,0.6,0,11111,35311,"TTO",0,2020,0.616946395561154,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"132",2020130,22,13,10,3,76,1.1,0,11111,43555,"TTO",0,2020,0.616946395561154,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"133",2020130,22,14,10,3,74,0.7,0,11111,52335,"TTO",0,2020,0.616946395561154,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"134",2020130,22,15,10,3,86,1.6,0,11111,55555,"TTO",0,2020,0.616946395561154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"135",2020130,22,16,10,3,77,0.7,0,11111,24445,"TTO",0,2020,0.616946395561154,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"136",2020130,22,17,10,3,73,0.3,0,11111,11122,"TTO",0,2020,0.616946395561154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"144",2020164,29,8,10,4,80,0.2,0,11111,42321,"TTO",0,2020,0.77647418973087,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"145",2020164,29,9,10,4,76,1.9,0,11111,43555,"TTO",0,2020,0.77647418973087,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"146",2020164,29,10,10,4,78,0.8,0,11111,13224,"TTO",0,2020,0.77647418973087,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"147",2020164,29,11,10,4,82,0,0,11111,12111,"TTO",0,2020,0.77647418973087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2020164,29,12,10,4,73,0,0,11111,11122,"TTO",0,2020,0.77647418973087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"149",2020164,29,13,10,4,75,0.9,0,11111,35311,"TTO",0,2020,0.77647418973087,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"150",2020164,29,14,10,4,74,1.7,0,11111,52335,"TTO",0,2020,0.77647418973087,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"151",2020164,29,15,10,4,86,2,0,11111,55555,"TTO",0,2020,0.77647418973087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"152",2020164,29,16,10,4,79,0.9,0,11111,34232,"TTO",0,2020,0.77647418973087,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"153",2020164,29,17,10,4,77,0.95,0,11111,24445,"TTO",0,2020,0.77647418973087,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
